
166.7.111.177	"11:15 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:15 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:15 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:16 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:16 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:16 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:16 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:17 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:17 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:17 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:18 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:18 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:18 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:19 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:19 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:19 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:20 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:20 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:20 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:20 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:21 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:21 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:21 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:21 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:22 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:22 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:22 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:23 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:23 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:23 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:24 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:24 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:24 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:25 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:25 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:25 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:26 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:26 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:26 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:27 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:27 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:27 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:27 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:28 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:28 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:29 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:29 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:29 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
166.7.111.177	"11:42 am  Tuesday February 16, 2016"	"Trail Creek Salvage +"	  47.93	 113.34
