97.119.172.2	97-119-172-2.albq.qwest.net.
128.210.106.113	unknown
129.101.229.246	cals-9xx4m02.ag.uidaho.edu.
129.127.180.63	DFCAA1455291D.ad.adelaide.edu.au.
131.204.18.25	bse25.eng.auburn.edu.
134.129.92.223	dyn223.iacc-tm4.ndsu.NoDak.edu.
137.150.101.73	unknown
137.190.76.73	unknown
137.229.29.98	unknown
138.4.206.162	unknown
140.194.140.15	spk-w.usace.army.mil.
146.232.160.118	unknown
146.232.18.246	unknown
155.210.222.76	unknown
155.210.222.86	unknown
155.210.222.88	unknown
155.210.222.89	unknown
158.68.232.160	unknown
161.98.123.40	unknown
164.165.230.27	h230-27.state.id.us.
166.2.110.65	z-166-2-110-65.ip.fs.fed.us.
166.2.148.198	z-166-2-148-198.ip.fs.fed.us.
166.2.169.184	z-166-2-169-184.ip.fs.fed.us.
166.2.22.201	z-166-2-22-201.ip.fs.fed.us.
166.2.22.218	z-166-2-22-218.ip.fs.fed.us.
166.2.24.181	z-166-2-24-181.ip.fs.fed.us.
166.2.37.159	z-166-2-37-159.ip.fs.fed.us.
166.3.14.22	z-166-3-14-22.ip.fs.fed.us.
166.3.197.175	z-166-3-197-175.ip.fs.fed.us.
166.3.199.62	z-166-3-199-62.ip.fs.fed.us.
166.4.85.93	z-166-4-85-93.ip.fs.fed.us.
166.5.213.100	z-166-5-213-100.ip.fs.fed.us.
166.5.227.133	z-166-5-227-133.ip.fs.fed.us.
166.5.81.92	z-166-5-81-92.ip.fs.fed.us.
166.7.101.119	z-166-7-101-119.ip.fs.fed.us.
166.7.157.207	z-166-7-157-207.ip.fs.fed.us.
168.180.60.249	unknown
170.144.107.18	z-170-144-107-18.ip.fs.fed.us.
170.144.88.100	z-170-144-88-100.ip.fs.fed.us.
170.144.91.125	z-170-144-91-125.ip.fs.fed.us.
170.144.97.140	z-170-144-97-140.ip.fs.fed.us.
174.29.203.176	174-29-203-176.hlrn.qwest.net.
174.52.214.55	c-174-52-214-55.hsd1.ut.comcast.net.
174.63.60.110	c-174-63-60-110.hsd1.nh.comcast.net.
184.96.4.75	184-96-4-75.hlrn.qwest.net.
192.102.16.150	unknown
192.136.167.253	192.136.167.253.dsl.uninets.net.
192.155.0.198	unknown
193.144.81.198	natpw263.usc.es.
193.144.81.202	natpw267.usc.es.
198.22.133.211	unknown
