
209.222.203.237	"07:42 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.203	"08:11 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.231	"09:04 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.231	"09:05 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.195	"09:45 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.195	"09:46 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.195	"09:48 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.195	"09:48 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.195	"09:50 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.195	"09:51 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.201	"09:54 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.201	"09:56 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.195	"09:58 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.195	"09:59 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
129.82.191.176	"10:29 am  Friday April 12, 2019"	"DENVER WB AP CO"	  39.77	-104.88
209.222.203.196	"11:55 am  Friday April 12, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.209	"02:31 pm  Saturday April 13, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.209	"02:32 pm  Saturday April 13, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.209	"02:33 pm  Saturday April 13, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.239	"07:52 pm  Sunday April 14, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.239	"07:54 pm  Sunday April 14, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.239	"08:02 pm  Sunday April 14, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.239	"08:05 pm  Sunday April 14, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.229	"09:00 pm  Sunday April 14, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.229	"09:08 pm  Sunday April 14, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.229	"09:11 pm  Sunday April 14, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.229	"09:11 pm  Sunday April 14, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.229	"09:12 pm  Sunday April 14, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.243	"06:38 am  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.243	"06:38 am  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.198	"06:38 am  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.243	"06:40 am  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.198	"06:40 am  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.198	"06:41 am  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.225	"06:47 am  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.218	"09:43 am  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.218	"09:46 am  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.218	"09:50 am  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.218	"09:50 am  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.218	"10:11 am  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.218	"10:12 am  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.218	"10:12 am  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.218	"10:12 am  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.225	"10:20 am  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.225	"10:20 am  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
134.114.69.176	"10:35 am  Monday April 15, 2019"	"FLAGSTAFF WB AP AZ"	  35.13	-111.67
166.3.12.191	"11:03 am  Monday April 15, 2019"	"WILLIAMS AZ (Modified TenX) +"	  35.96	 112.18
166.3.12.191	"11:09 am  Monday April 15, 2019"	"WILLIAMS AZ (Modified TenX) +"	  35.96	 112.18
209.222.203.246	"11:13 am  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.246	"11:13 am  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.246	"11:13 am  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.199	"11:21 am  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.199	"11:22 am  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.199	"11:22 am  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
209.222.203.199	"01:15 pm  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
24.59.74.189	"02:01 pm  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
24.59.74.189	"02:03 pm  Monday April 15, 2019"	"WALLACE WDLND PK ID"	  47.50	-115.88
