
206.123.191.246	"12:53 pm  Wednesday March 20, 2019"	30	"ABERDEEN 20 NNE WISHKA"	  47.27	-123.70
166.7.151.98	"02:42 pm  Wednesday March 20, 2019"	100	"TROUT CREEK RS MT +"	  47.83	 115.62
142.93.40.228	"09:57 am  Thursday March 21, 2019"	1	""		
134.49.226.204	"09:43 pm  Thursday March 21, 2019"	30	"RUBICON #2 Low +"	  39.11	 120.19
134.49.226.204	"09:44 pm  Thursday March 21, 2019"	30	"RUBICON #2 Middle +"	  39.04	 120.23
134.49.226.204	"09:44 pm  Thursday March 21, 2019"	30	"RUBICON #2 High +"	  38.94	 120.20
134.49.226.204	"10:12 pm  Thursday March 21, 2019"	30	"RUBICON #2 Low +"	  39.11	 120.19
134.49.226.204	"10:12 pm  Thursday March 21, 2019"	30	"RUBICON #2 Middle +"	  39.04	 120.23
134.49.226.204	"10:13 pm  Thursday March 21, 2019"	30	"RUBICON #2 High +"	  38.94	 120.20
155.230.235.47	"10:54 pm  Thursday March 21, 2019"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
69.166.32.188	"12:19 pm  Friday March 22, 2019"	30	"DQ SAINT MARIES ID +"	  47.25	-116.45
69.166.32.188	"12:21 pm  Friday March 22, 2019"	30	"DQ SAINT MARIES ID +"	  47.25	-116.45
69.166.32.188	"12:21 pm  Friday March 22, 2019"	30	"DQ SAINT MARIES ID +"	  47.25	-116.45
69.166.32.188	"12:21 pm  Friday March 22, 2019"	30	"DQ SAINT MARIES ID +"	  47.25	-116.45
69.166.32.188	"12:21 pm  Friday March 22, 2019"	30	"DQ SAINT MARIES ID +"	  47.25	-116.45
69.166.32.188	"12:21 pm  Friday March 22, 2019"	30	"DQ SAINT MARIES ID +"	  47.25	-116.45
69.166.35.201	"02:17 pm  Friday March 22, 2019"	1	""		
69.166.35.201	"02:23 pm  Friday March 22, 2019"	30	""	   0.00	   0.00
