166.6.147.13	05:18 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:18 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:21 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:21 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:24 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:24 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:53 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:54 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:56 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:56 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:57 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	05:58 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:01 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:01 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:02 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:02 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:04 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:06 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:06 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:09 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:09 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:15 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
166.6.147.13	06:16 pm  Thursday January 7, 2010	30	  SEXTON SUMMIT WB OR                   	 LATT=  42.62 LONG=-123.37
