WD	wepp-14933	"01:26 pm  Monday January 1, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-56370	"Jan 2, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-56372	"02:34 pm  Tuesday January 2, 2018"	""	1			0	0	0	0	0	0	0	0		
WR	wepp-52306	"04:16 am  Monday January 8, 2018"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-52313	"Jan 8, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-172869	"00:02 am  Wednesday January 10, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-98118	"05:30 pm  Saturday January 13, 2018"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-98120	"Jan 13, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-29972	"09:49 pm  Monday January 15, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-172331	"03:23 am  Friday January 19, 2018"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-172333	"Jan 19, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-205186	"10:25 am  Sunday January 21, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-138365	"07:14 am  Thursday January 25, 2018"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-138369	"Jan 25, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-128437	"07:33 am  Saturday January 27, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-168941	"07:56 pm  Tuesday January 30, 2018"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-169694	"Jan 30, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-176527	"09:11 am  Friday February 2, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-82896	"08:16 pm  Monday February 5, 2018"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-82900	"Feb 5, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-32781	"05:33 am  Thursday February 8, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-207395	"04:08 pm  Sunday February 11, 2018"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-207397	"Feb 11, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-8029	"11:35 pm  Tuesday February 13, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-187621	"09:34 am  Saturday February 17, 2018"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-187627	"Feb 17, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-223308	"08:21 pm  Monday February 19, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-144456	"00:17 am  Friday February 23, 2018"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-144457	"Feb 23, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-211343	"11:53 am  Monday February 26, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-14266	"06:05 pm  Wednesday February 28, 2018"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-14268	"Feb 28, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-75899	"11:08 am  Sunday March 4, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-131246	"Mar 6, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-131280	"12:45 pm  Tuesday March 6, 2018"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-119781	"04:44 am  Saturday March 10, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-143273	"Mar 12, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-143274	"06:12 am  Monday March 12, 2018"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-57396	"00:34 am  Friday March 16, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-19049	"Mar 17, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-19051	"08:13 pm  Saturday March 17, 2018"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-125898	"09:27 pm  Thursday March 22, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
wt	wepp-140180	"Mar 23, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WR	wepp-140184	"03:04 pm  Friday March 23, 2018"	""	1			0	0	0	0	0	0	0	0		
WD	wepp-7295	"01:15 am  Thursday March 29, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
WD	wepp-153714	"04:27 am  Wednesday April 4, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
WR	wepp-218803	"02:03 pm  Wednesday April 4, 2018"	""	1			0	0	0	0	0	0	0	0		
wt	wepp-218844	"Apr 4, 2018"	""			0	0	0	0	0		0	0	0	0	0		""
WD	wepp-208902	"06:46 pm  Monday April 9, 2018"	""				0	0	0	0	0		0	0	0	0	0	0		""
