82.249.106.101	"05:03 am  Sunday January 13, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
82.249.106.101	"05:04 am  Sunday January 13, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
82.249.106.101	"05:05 am  Sunday January 13, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
82.249.106.101	"05:05 am  Sunday January 13, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
82.249.106.101	"05:06 am  Sunday January 13, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
82.249.106.101	"05:06 am  Sunday January 13, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
82.249.106.101	"05:07 am  Sunday January 13, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
82.249.106.101	"05:08 am  Sunday January 13, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
82.249.106.101	"05:08 am  Sunday January 13, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
82.249.106.101	"05:09 am  Sunday January 13, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
82.249.106.101	"05:10 am  Sunday January 13, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
82.249.106.101	"05:11 am  Sunday January 13, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
82.249.106.101	"05:11 am  Sunday January 13, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
82.249.106.101	"05:12 am  Sunday January 13, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
109.20.114.54	"06:40 am  Sunday January 13, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
109.20.114.54	"06:44 am  Sunday January 13, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
109.20.114.54	"06:45 am  Sunday January 13, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
109.20.114.54	"06:46 am  Sunday January 13, 2013"	30	"BIRMINGHAM WB AP AL"	  33.57	 -86.75
