166.7.48.206	01:36 pm  Wednesday April 24, 2013	30	28	  12 Tamarack Project +                 
166.7.48.206	01:38 pm  Wednesday April 24, 2013	30	28	  12 Tamarack Project +                 
166.7.48.206	01:45 pm  Wednesday April 24, 2013	30	9	  12 Tamarack Project +                 
166.7.48.206	02:06 pm  Wednesday April 24, 2013	30	19	  12 Tamarack Project +                 
166.7.48.206	02:07 pm  Wednesday April 24, 2013	30	19	  12 Tamarack Project +                 
166.7.48.206	09:21 am  Thursday April 25, 2013	30	6	  12 Tamarack Project +                 
166.7.48.206	09:40 am  Thursday April 25, 2013	30	10	  12 Tamarack Project +                 
166.7.48.206	09:45 am  Thursday April 25, 2013	30	10	  12 Tamarack Project +                 
166.7.48.206	09:51 am  Thursday April 25, 2013	30	6	  12 Tamarack Project +                 
166.7.48.206	09:53 am  Thursday April 25, 2013	30	6	  12 Tamarack Project +                 
166.7.48.206	10:22 am  Thursday April 25, 2013	30	10	  12 Tamarack Project +                 
166.7.48.206	10:36 am  Thursday April 25, 2013	30	3	  12 Tamarack Project +                 
166.7.48.206	10:39 am  Thursday April 25, 2013	30	6	  12 Tamarack Project +                 
166.7.48.206	12:30 pm  Thursday April 25, 2013		13	 12 Tamarack Project +                  
166.7.48.206	12:33 pm  Thursday April 25, 2013	30	13	  12 Tamarack Project +                 
166.7.48.206	12:44 pm  Thursday April 25, 2013		9	 12 Tamarack Project +                  
166.7.48.206	12:44 pm  Thursday April 25, 2013	30	9	  12 Tamarack Project +                 
166.7.48.206	12:48 pm  Thursday April 25, 2013	30	4	  12 Tamarack Project +                 
166.7.48.206	01:18 pm  Thursday April 25, 2013	30	9	  12 Tamarack Project +                 
166.7.48.206	01:59 pm  Thursday April 25, 2013	30	19	  12 Tamarack Project +                 
166.2.21.199	02:16 pm  Thursday April 25, 2013	30	400	  GOLD BEACH RS OR                      
166.7.48.206	02:33 pm  Thursday April 25, 2013	30	35	  12 Tamarack Project +                 
166.7.48.206	02:38 pm  Thursday April 25, 2013	30	35	  12 Tamarack Project +                 
166.7.48.206	02:42 pm  Thursday April 25, 2013	30	11	  12 Tamarack Project +                 
166.7.48.206	02:46 pm  Thursday April 25, 2013	30	8	  12 Tamarack Project +                 
166.7.48.206	03:03 pm  Thursday April 25, 2013	30	14	  12 Tamarack Project +                 
166.2.21.199	03:25 pm  Thursday April 25, 2013	30	400	  GOLD BEACH RS OR                      
166.2.21.199	03:58 pm  Thursday April 25, 2013	30	400	  GOLD BEACH RS OR                      
166.2.21.199	05:02 pm  Thursday April 25, 2013	30	400	  GOLD BEACH RS OR                      
